	code	eps_x	eps_yoy	bvps	roe_x	epcf	net_profits_x	profits_yoy	distrib	report_date	roe_y	net_profit_ratio	gross_profit_rate	net_profits_y	eps_y	business_income	bips	arturnover	arturndays	inventory_turnover	inventory_days	currentasset_turnover	currentasset_days	mbrg	nprg	nav	targ	epsg	seg	currentratio	quickratio	cashratio	icratio	sheqratio	adratio	cf_sales	rateofreturn	cf_nm	cf_liabilities	cashflowratio
2165	600558	0.03	-21.88	NaN	1.21	NaN	2257.37	-21.24	NaN	08-22	1.21	2.24	16.2187	22.5737	0.0251	1005.5988	1.1203	5.1023	35.2782	2.176	82.7206	0.7582	237.4044	24.3458	-18.9136	1.25	5.5065	-21.875	1.1158	1.8863	1.3023	25.2061	695.1785	72.9505	27.0495	-0.0598	-0.0214	-2.0976	-0.0791	-8.5958
2166	603298	0.45	4.65	NaN	8.49	NaN	28126.1	23.06	NaN	08-22	8.52	8.02	20.2247	281.261	0.4544	3506.1981	5.6656	7.2105	24.9636	3.8196	47.1254	0.9454	190.3956	31.9619	21.452	59.0421	47.6865	4.6512	65.5124	3.1256	2.5448	63.4493	-13623.2988	74.3897	25.6103	0.1152	0.0838	1.321	0.3272	33.1907
2167	603298	0.45	4.65	NaN	8.49	NaN	28126.1	23.06	NaN	08-22	8.52	8.02	20.2247	281.261	0.4544	3506.1981	5.6656	7.2105	24.9636	3.8196	47.1254	0.9454	190.3956	31.9619	21.452	59.0421	47.6865	4.6512	65.5124	3.1256	2.5448	63.4493	-13623.2988	74.3897	25.6103	0.1152	0.0838	1.321	0.3272	33.1907
2168	600855	0.0	-98.77	NaN	0.01	NaN	12.43	-98.85	NaN	08-22	0.01	0.02	23.0267	0.1243	0.0003	515.4815	1.5544	1.2423	144.8925	2.607	69.0449	0.3566	504.7672	15.604	-84.7593	0.2848	0.2254	-98.7692	1.5615	1.9612	1.7402	70.0417	-493.5125	56.4639	43.5361	-0.5722	-0.1759	-101.1136	-0.4041	-40.4392
2169	600855	0.0	-98.77	NaN	0.01	NaN	12.43	-98.85	NaN	08-22	0.01	0.02	23.0267	0.1243	0.0003	515.4815	1.5544	1.2423	144.8925	2.607	69.0449	0.3566	504.7672	15.604	-84.7593	0.2848	0.2254	-98.7692	1.5615	1.9612	1.7402	70.0417	-493.5125	56.4639	43.5361	-0.5722	-0.1759	-101.1136	-0.4041	-40.4392
2170	002848	0.07	-76.08	NaN	1.4	NaN	1070.56	-70.77	NaN	08-22	1.28	2.64	25.3316	10.7056	0.064	405.5082	2.426	0.7278	247.3207	1.7218	104.5418	0.4198	428.7756	-20.8103	-70.7749	41.2897	17.0796	-76.078	41.2897	2.5482	2.1421	63.4197	213.1777	66.3884	33.6116	-0.1845	-0.0596	-6.9903	-0.1773	-18.6933
2171	002848	0.07	-76.08	NaN	1.4	NaN	1070.56	-70.77	NaN	08-22	1.28	2.64	25.3316	10.7056	0.064	405.5082	2.426	0.7278	247.3207	1.7218	104.5418	0.4198	428.7756	-20.8103	-70.7749	41.2897	17.0796	-76.078	41.2897	2.5482	2.1421	63.4197	213.1777	66.3884	33.6116	-0.1845	-0.0596	-6.9903	-0.1773	-18.6933
2172	300661	0.54	-19.52	NaN	9.4	NaN	3251.43	7.31	NaN	08-22	4.64	14.43	45.5961	32.5143	0.5419	225.2629	3.7543	6.0701	29.6535	1.8343	98.1301	0.3885	463.3205	8.8464	7.3083	NaN	NaN	-19.5158	NaN	8.6054	7.7868	325.6598	1508.833	84.3832	15.6168	0.092	0.025	0.6377	0.16	22.3866
2173	300661	0.54	-19.52	NaN	9.4	NaN	3251.43	7.31	NaN	08-22	4.64	14.43	45.5961	32.5143	0.5419	225.2629	3.7543	6.0701	29.6535	1.8343	98.1301	0.3885	463.3205	8.8464	7.3083	NaN	NaN	-19.5158	NaN	8.6054	7.7868	325.6598	1508.833	84.3832	15.6168	0.092	0.025	0.6377	0.16	22.3866
2174	000430	0.12	9.89	NaN	5.61	NaN	3865.03	10.27	NaN	08-22	5.65	16.86	37.1246	38.6503	0.1204	229.1405	0.7142	52.6055	3.4217	20.5254	8.7696	1.0912	164.956	-5.4853	9.7101	6.0776	76.5648	9.8901	6.3148	0.2059	0.1999	16.3679	493.8841	31.2974	68.7026	0.2384	0.0247	1.4148	0.0359	4.2864
2175	000430	0.12	9.89	NaN	5.61	NaN	3865.03	10.27	NaN	08-22	5.65	16.86	37.1246	38.6503	0.1204	229.1405	0.7142	52.6055	3.4217	20.5254	8.7696	1.0912	164.956	-5.4853	9.7101	6.0776	76.5648	9.8901	6.3148	0.2059	0.1999	16.3679	493.8841	31.2974	68.7026	0.2384	0.0247	1.4148	0.0359	4.2864
2176	603368	1.28	15.32	NaN	5.87	NaN	19180.8	30.15	NaN	08-22	5.84	4.31	9.4718	191.808	1.0365	4442.7368	24.0079	1.343	134.0283	4.2797	42.059	0.7568	237.8436	20.6172	29.4553	9.6095	18.1016	15.3153	8.812	1.846	1.5349	29.9537	30832.9821	50.082	49.918	-0.1383	-0.092	-2.9975	-0.1843	-18.7692
